date,exposure,r_v30,r_v31,qqq_ret
1986-05-09,1.0000,0.00483000,0.00483000,0.00483000
1986-05-12,1.0000,-0.00102000,-0.00102000,-0.00102000
1986-05-13,1.0000,-0.00441000,-0.00441000,-0.00441000
1986-05-14,1.0000,-0.00026000,-0.00026000,-0.00026000
1986-05-15,1.0000,-0.00787000,-0.00787000,-0.00787000
1986-05-16,1.0000,-0.00492000,-0.00492000,-0.00492000
1986-05-19,1.0000,0.00206000,0.00206000,0.00206000
1986-05-20,1.0000,0.01097000,0.01097000,0.01097000
1986-05-21,1.0000,0.00276000,0.00276000,0.00276000
1986-05-22,1.0000,0.01393000,0.01393000,0.01393000
1986-05-23,1.0000,0.00338000,0.00338000,0.00338000
1986-05-27,1.0000,0.00633000,0.00633000,0.00633000
1986-05-28,1.0000,0.00083000,0.00083000,0.00083000
1986-05-29,1.0000,0.00198000,0.00198000,0.00198000
1986-05-30,1.0000,0.00955000,0.00955000,0.00955000
1986-06-02,1.0000,-0.00690000,-0.00690000,-0.00690000
1986-06-03,1.0000,0.00052000,0.00052000,0.00052000
1986-06-04,1.0000,-0.00173000,-0.00173000,-0.00173000
1986-06-05,1.0000,0.00333000,0.00333000,0.00333000
1986-06-06,1.0000,-0.00290000,-0.00290000,-0.00290000
1986-06-09,1.0000,-0.02021000,-0.02021000,-0.02021000
1986-06-10,1.0000,-0.00316000,-0.00316000,-0.00316000
1986-06-11,1.0000,0.01223000,0.01223000,0.01223000
1986-06-12,1.0000,0.00209000,0.00209000,0.00209000
1986-06-13,1.0000,0.01243000,0.01243000,0.01243000
1986-06-16,1.0000,-0.00955000,-0.00955000,-0.00955000
1986-06-17,1.0000,-0.01381000,-0.01381000,-0.01381000
1986-06-18,1.0000,-0.00058000,-0.00058000,-0.00058000
1986-06-19,1.0000,0.00507000,0.00507000,0.00507000
1986-06-20,1.0000,0.00194000,0.00194000,0.00194000
1986-06-23,1.0000,-0.00016000,-0.00016000,-0.00016000
1986-06-24,1.0000,0.00783000,0.00783000,0.00783000
1986-06-25,1.0000,0.00749000,0.00749000,0.00749000
1986-06-26,1.0000,-0.00170000,-0.00170000,-0.00170000
1986-06-27,1.0000,-0.00063000,-0.00063000,-0.00063000
1986-06-30,1.0000,0.00621000,0.00621000,0.00621000
1986-07-01,1.0000,0.00439000,0.00439000,0.00439000
1986-07-02,1.0000,0.00391000,0.00391000,0.00391000
1986-07-03,1.0000,0.00341000,0.00341000,0.00341000
1986-07-07,1.0000,-0.04186000,-0.04186000,-0.04186000
1986-07-08,1.0000,-0.02767000,-0.02767000,-0.02767000
1986-07-09,1.0000,0.01405000,0.01405000,0.01405000
1986-07-10,1.0000,-0.00718000,-0.00718000,-0.00718000
1986-07-11,1.0000,-0.00928000,-0.00928000,-0.00928000
1986-07-14,1.0000,-0.02333000,-0.02333000,-0.02333000
1986-07-15,1.0000,-0.02027000,-0.02027000,-0.02027000
1986-07-16,1.0000,0.00782000,0.00782000,0.00782000
1986-07-17,1.0000,0.00728000,0.00728000,0.00728000
1986-07-18,1.0000,-0.00472000,-0.00472000,-0.00472000
1986-07-21,1.0000,-0.00461000,-0.00461000,-0.00461000
1986-07-22,1.0000,0.00227000,0.00227000,0.00227000
1986-07-23,1.0000,-0.00154000,-0.00154000,-0.00154000
